dt_implant;cd_item;ds_nacional;Agrupamento_Item;ds_item;ds_voltagem;Família_(grupos);classificacao_fiscal;cd_ean;DUN-14;Múltiplo_Pedido;peso_bruto;aliquota_ipi;tipo_exclusividade;Origem;BU;Familia_Comercial
2024-07-18;FW010685;WAP SERRA TICO TICO WF STT01;WAP SERRA TICO TICO WF STT01;WAP SERRA TICO TICO WF STT01 127V;;Ferramentas;84672200;7899831338009;;1;0;5.2;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - serra/lixa/desbas
2022-03-07;FW008808;WAP SERRA TICO TICO ESTT 800;WAP SERRA TICO TICO ESTT 800;WAP SERRA TICO TICO ESTT 800 220V;220V;Ferramentas;84672200;7899831310333;;1;2.25;5.2;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - serra/lixa/desbas
2022-03-07;FW008807;WAP SERRA TICO TICO ESTT 800;WAP SERRA TICO TICO ESTT 800;WAP SERRA TICO TICO ESTT 800 127V;127V;Ferramentas;84672200;7899831310326;;1;2.25;5.2;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - serra/lixa/desbas
2022-09-30;FW009224;WAP SERRA TICO TICO ESTT 550;WAP SERRA TICO TICO ESTT 550;WAP SERRA TICO TICO ESTT 550 220V;220V;Ferramentas;84672200;7899831311668;;1;1.75;5.2;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - serra/lixa/desbas
2022-09-30;FW009223;WAP SERRA TICO TICO ESTT 550;WAP SERRA TICO TICO ESTT 550;WAP SERRA TICO TICO ESTT 550 127V;127V;Ferramentas;84672200;7899831311651;;1;1.75;5.2;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - serra/lixa/desbas
2024-07-18;FW010682;WAP SERRA SABRE WF SA01;WAP SERRA SABRE WF SA01;WAP SERRA SABRE WF SA01 220V;;Ferramentas;84672200;7899831337996;;1;2;5.2;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - paraf/furad/mart
2024-07-18;FW010681;WAP SERRA SABRE WF SA01;WAP SERRA SABRE WF SA01;WAP SERRA SABRE WF SA01 127V;;Ferramentas;84672200;7899831337989;;1;2;5.2;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - paraf/furad/mart
2024-09-03;FW010919;WAP SERRA POLICORTE WF SP02;WAP SERRA POLICORTE WF SP02;WAP SERRA POLICORTE WF SP02 220V;;Ferramentas;84615020;7899831339679;;1;11.5;;CATALOGO ABERTO;Estrangeira;SEM CLASSIFICAÇÃO;ferramenta - serra/lixa/desbas
2024-09-03;FW010918;WAP SERRA POLICORTE WF SP02;WAP SERRA POLICORTE WF SP02;WAP SERRA POLICORTE WF SP02 127V;;Ferramentas;84615020;7899831339662;;1;5;;CATALOGO ABERTO;Estrangeira;SEM CLASSIFICAÇÃO;ferramenta - serra/lixa/desbas
2023-11-24;FW010127;WAP SERRA POLICORTE WF SP01;WAP SERRA POLICORTE WF SP01;WAP SERRA POLICORTE WF SP01 220V;220V;Ferramentas;84615020;7899831331864;;1;11.5;0;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - serra/lixa/desbas
2023-11-24;FW010126;WAP SERRA POLICORTE WF SP01;WAP SERRA POLICORTE WF SP01;WAP SERRA POLICORTE WF SP01 127V;127V;Ferramentas;84615020;7899831331857;;1;5;0;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - serra/lixa/desbas
2015-03-13;926702100;WAP SERRA MARMORE ESM1400;WAP SERRA MARMORE ESM1400;WAP SERRA MARMORE WAP ESM1400 220V;220V;Ferramentas;84672200;7898152180465;;1;5;;CATALOGO ABERTO;Estrangeira;SEM CLASSIFICAÇÃO;ferramenta - serra/lixa/desbas
2019-12-20;FW007490;WAP SERRA MARMORE ESM1300;WAP SERRA MARMORE ESM1300;WAP SERRA MARMORE WAP ESM1300 220V;220V;Ferramentas;84672200;7899831301249;;1;2.9;5.2;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - serra/lixa/desbas
2019-12-20;FW007489;WAP SERRA MARMORE ESM1300;WAP SERRA MARMORE ESM1300;WAP SERRA MARMORE WAP ESM1300 127V;127V;Ferramentas;84672200;7899831301232;;1;2.9;5.2;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - serra/lixa/desbas
2020-11-24;FW008193;WAP SERRA CIRCULAR ESC1500;WAP SERRA CIRCULAR ESC1500;WAP SERRA CIRCULAR WAP ESC1500 220V;220V;Ferramentas;84672200;7899831306022;;1;4.5;5.2;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - serra/lixa/desbas
2020-11-24;FW008192;WAP SERRA CIRCULAR ESC1500;WAP SERRA CIRCULAR ESC1500;WAP SERRA CIRCULAR WAP ESC1500 127V;127V;Ferramentas;84672200;7899831306015;;1;4.5;5.2;CATALOGO ABERTO;Estrangeira;DIY;ferramenta - serra/lixa/desbas
2023-06-30;FW009592;WAP ROBOT W96;WAP ROBOT W96;WAP ROBOT W96;;Aspiradores Robos;85081100;7899831312931;;1;1.8;6.5;EXCLUSIVO;Estrangeira;TECH;aspirador - robo
